ScheduleID,FlightNumber,AircraftType,AircraftTailNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Status,DepartureDates
SCH-ZZ-1589654,3209,Boeing 777-300,VT-5703,CNN,COK,14:47,20:20,Scheduled,"['12/04/2023', '12/06/2023', '12/07/2023', '12/09/2023', '12/11/2023']"
SCH-ZZ-6454179,2973,Boeing 717,VT-1098,IDR,BOM,16:53,12:06,Scheduled,"['12/04/2023', '12/06/2023', '12/07/2023', '12/09/2023', '12/10/2023', '12/11/2023', '12/13/2023', '12/14/2023']"
SCH-ZZ-2438777,4763,Airbus A320 Neo,VT-3868,AMD,CNN,20:37,22:25,Scheduled,"['12/06/2023', '12/08/2023', '12/11/2023', '12/13/2023', '12/15/2023']"
SCH-ZZ-1074893,3417,Airbus A321 Neo,VT-5460,CNN,MAA,18:50,7:12,Scheduled,"['12/06/2023', '12/07/2023', '12/08/2023', '12/11/2023', '12/13/2023', '12/14/2023', '12/15/2023']"
SCH-ZZ-1922965,2814,Boeing 717,VT-9798,JAI,IDR,16:12,10:06,Scheduled,"['12/05/2023', '12/07/2023', '12/12/2023', '12/14/2023']"
SCH-ZZ-4745163,3027,Boeing 777,VT-2035,AMD,JAI,21:02,15:30,Scheduled,"['12/05/2023', '12/06/2023', '12/09/2023', '12/10/2023', '12/11/2023', '12/12/2023', '12/13/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/19/2023', '12/20/2023']"
SCH-ZZ-9900243,4132,Boeing 767,VT-5455,CCJ,GAU,0:04,12:11,Scheduled,"['12/08/2023', '12/09/2023', '12/11/2023']"
SCH-ZZ-5356553,3417,Boeing 787,VT-1764,CNN,MAA,0:26,2:06,Scheduled,"['12/07/2023', '12/09/2023', '12/10/2023']"
SCH-ZZ-2430474,2678,Boeing 767,VT-1375,DEL,IDR,17:34,14:17,Scheduled,"['12/07/2023', '12/09/2023', '12/14/2023']"
SCH-ZZ-7907532,3209,Boeing 787,VT-6458,CNN,COK,20:38,13:57,Scheduled,"['12/10/2023', '12/17/2023']"
SCH-ZZ-6640588,2752,Boeing 777,VT-6670,JAI,BOM,11:47,17:27,Scheduled,"['12/07/2023', '12/09/2023', '12/11/2023', '12/12/2023', '12/14/2023', '12/16/2023', '12/18/2023', '12/19/2023', '12/21/2023']"
SCH-ZZ-9806021,4290,Boeing 767,VT-5758,MAA,COK,20:09,22:12,Scheduled,"['12/09/2023', '12/12/2023']"
SCH-ZZ-7747278,2809,Boeing 757,VT-6787,CJB,HYD,6:47,14:05,Scheduled,"['12/06/2023', '12/08/2023', '12/09/2023', '12/12/2023', '12/13/2023', '12/15/2023', '12/16/2023', '12/19/2023', '12/20/2023', '12/22/2023', '12/23/2023']"
SCH-ZZ-5949538,2809,Airbus A321 Neo,VT-3282,CJB,HYD,2:11,23:15,Scheduled,"['12/06/2023', '12/08/2023', '12/10/2023', '12/11/2023', '12/13/2023', '12/15/2023', '12/17/2023']"
SCH-ZZ-6629838,4938,Boeing 787,VT-8728,COK,IDR,7:29,1:22,Scheduled,"['12/06/2023', '12/10/2023', '12/11/2023', '12/13/2023']"
SCH-ZZ-5791697,3083,Boeing 787,VT-6785,CCJ,MAA,19:58,14:12,Scheduled,"['12/08/2023', '12/11/2023', '12/12/2023']"
SCH-ZZ-6660445,2823,BAe 146,VT-7913,CCJ,JAI,2:00,17:16,Scheduled,"['12/09/2023', '12/10/2023', '12/11/2023', '12/16/2023', '12/17/2023', '12/18/2023', '12/23/2023', '12/24/2023', '12/25/2023', '12/30/2023', '12/31/2023', '01/01/2024', '01/06/2024']"
SCH-ZZ-8611652,2406,Boeing 777-300,VT-9298,BLR,IDR,9:51,7:59,Scheduled,"['12/09/2023', '12/11/2023', '12/12/2023', '12/13/2023']"
SCH-ZZ-4429935,4995,Airbus A320-200,VT-2779,GAU,IDR,7:35,21:24,Scheduled,"['12/07/2023', '12/08/2023', '12/10/2023', '12/11/2023', '12/12/2023', '12/14/2023', '12/15/2023', '12/17/2023', '12/18/2023', '12/19/2023']"
SCH-ZZ-3663516,4262,Boeing 767,VT-8018,TRV,PNQ,8:40,23:09,Scheduled,"['12/09/2023', '12/11/2023', '12/12/2023']"
SCH-ZZ-5965591,3107,Boeing 717,VT-1098,BBI,HYD,4:32,6:05,Scheduled,"['12/12/2023', '12/13/2023']"
SCH-ZZ-8192239,2631,Boeing 777-300,VT-6829,LKO,CNN,13:58,8:18,Scheduled,"['12/08/2023', '12/09/2023', '12/10/2023', '12/11/2023', '12/12/2023', '12/15/2023']"
SCH-ZZ-6053731,2560,BAe 146,VT-1594,PAT,BBI,4:02,20:34,Scheduled,"['12/09/2023', '12/13/2023', '12/14/2023']"
SCH-ZZ-2592431,4429,Airbus A321-200,VT-6372,JAI,CJB,16:53,21:53,Scheduled,"['12/09/2023', '12/12/2023', '12/14/2023']"
SCH-ZZ-6699044,4913,Boeing 757,VT-5521,MAA,IDR,2:05,3:05,Scheduled,"['12/11/2023', '12/13/2023']"
SCH-ZZ-6466454,4529,Boeing 787,VT-7972,BBI,GAU,4:15,10:27,Scheduled,"['12/09/2023', '12/16/2023']"
SCH-ZZ-5903235,4114,Boeing 717,VT-7866,CJB,BLR,11:36,5:00,Scheduled,"['12/10/2023', '12/13/2023', '12/17/2023']"
SCH-ZZ-7992875,3323,Boeing 777,VT-5622,LKO,IDR,20:27,0:27,Scheduled,"['12/10/2023', '12/11/2023', '12/12/2023', '12/13/2023']"
