InventoryId,ScheduleId,FlightNumber,AircraftType,DepartureDate,ArrivalDate,DepartureAirport,ArrivalAirport,TotalCapacity,TotalInventory,BookedInventory,Oversold,AvailableInventory,FirstClass,BusinessClass,PremiumEconomyClass,EconomyClass,FC_TotalInventory,FC_BookedInventory,FC_AvailableInventory,BC_TotalInventory,BC_BookedInventory,BC_AvailableInventory,PC_TotalInventory,PC_BookedInventory,PC_AvailableInventory,EC_TotalInventory,EC_BookedInventory,EC_AvailableInventory,FC_CD,BC_CD,PC_CD,EC_CD
INV-ZZ-0000001,SCH-ZZ-0000001,1001,Boeing 787,08/19/2024,08/19/2024,MAA,BLR,270,291,187,-83,104,27,54,81,108,29,20,9,60,45,15,85,78,7,117,44,73,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000065,SCH-ZZ-0000065,1001,Boeing 787,08/19/2024,08/19/2024,MAA,BLR,270,291,196,-74,95,27,54,81,108,32,22,10,55,43,12,82,55,27,122,76,46,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000129,SCH-ZZ-0000129,1001,Boeing 787,08/19/2024,08/19/2024,MAA,BLR,270,296,179,-91,117,27,54,81,108,30,18,12,59,22,37,91,51,40,116,88,28,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000002,SCH-ZZ-0000002,1002,Boeing 787,08/19/2024,08/19/2024,MAA,BOM,270,292,188,-82,104,27,54,81,108,30,15,15,57,29,28,90,78,12,115,66,49,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000066,SCH-ZZ-0000066,1002,Boeing 787,08/19/2024,08/19/2024,MAA,BOM,270,283,215,-55,68,27,54,81,108,29,11,18,60,50,10,85,70,15,109,84,25,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000130,SCH-ZZ-0000130,1002,Boeing 787,08/19/2024,08/19/2024,MAA,BOM,270,292,138,-132,154,27,54,81,108,32,10,22,55,23,32,90,53,37,115,52,63,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000003,SCH-ZZ-0000003,1003,Boeing 787,08/19/2024,08/19/2024,MAA,DUB,270,291,169,-101,122,27,54,81,108,29,20,9,58,25,33,91,73,18,113,51,62,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000067,SCH-ZZ-0000067,1003,Boeing 787,08/19/2024,08/19/2024,MAA,DUB,270,296,181,-89,115,27,54,81,108,32,13,19,55,49,6,82,54,28,127,65,62,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000131,SCH-ZZ-0000131,1003,Boeing 787,08/19/2024,08/19/2024,MAA,DUB,270,302,160,-110,142,27,54,81,108,28,11,17,56,20,36,91,59,32,127,70,57,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-0000004,SCH-ZZ-0000004,1004,Boeing 787,08/19/2024,08/19/2024,MAA,VNS,270,291,203,-67,88,27,54,81,108,28,19,9,56,36,20,87,80,7,120,68,52,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
